# Sip word list — adapted from the New General Service List (NGSL) and New Academic Word List (NAWL) by Browne, C., Culligan, B., & Phillips, J. — CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/) — https://www.newgeneralservicelist.com — Sip's adaptation (level order, Korean meanings, examples) is shared under the same license.
level,day,word,pos,korean,example1,example2,source_list
18,4,funny,adjective,웃긴,He told us a funny story.,Why is that film so funny?,NGSL
18,4,mountain,noun,산,We walked up the mountain today.,Is that mountain very high?,NGSL
18,5,hide,verb,숨기다,She hid the letter under the bed.,Where did you hide my keys?,NGSL
18,5,ticket,noun,표,I bought two tickets for the game.,Do you have your train ticket?,NGSL
18,5,meal,noun,식사,We had a nice meal together.,What was your favorite meal today?,NGSL
18,5,bag,noun,가방,Put the books in your bag.,Whose bag is this?,NGSL
18,5,plane,noun,비행기,Our plane leaves at six.,Have you ever flown on a plane?,NGSL
18,6,bird,noun,새,A small bird sat on the tree.,Can you hear the birds singing?,NGSL
18,6,burn,verb,불에 타다,Be careful not to burn the food.,The paper burned quickly in the fire.,NGSL
18,6,beach,noun,해변,We spent the whole day at the beach.,Is the beach far from the hotel?,NGSL
18,6,flower,noun,꽃,She put the flowers in some water.,What is your favorite flower?,NGSL
18,6,boat,noun,배,We took a boat across the river.,Can you see the boat on the water?,NGSL
18,7,kitchen,noun,부엌,My mother is cooking in the kitchen.,Is the kitchen big enough for us?,NGSL
18,7,quiet,adjective,조용한,The house is very quiet at night.,Can you please be quiet?,NGSL
18,7,nurse,noun,간호사,The nurse checked my arm.,My sister wants to be a nurse.,NGSL
18,7,jump,verb,뛰어오르다,The dog jumped over the wall.,Can you jump that high?,NGSL
18,7,winter,noun,겨울,Winter is coming soon.,Do you like winter sports?,NGSL
19,1,spring,noun,봄,Flowers open in the spring.,Are you traveling this spring?,NGSL
19,1,lunch,noun,점심,We had lunch at a small restaurant.,What did you eat for lunch?,NGSL
19,1,pool,noun,수영장,The kids played in the pool all day.,Does the hotel have a pool?,NGSL
19,1,sun,noun,태양,The sun is very hot today.,Does the sun rise early in summer?,NGSL
19,1,wash,verb,씻다,Wash your hands before you eat.,Did you wash the car yesterday?,NGSL
19,2,stone,noun,돌,The old house is made of stone.,Did you throw a stone into the water?,NGSL
19,2,soldier,noun,군인,My brother is a soldier.,Do soldiers train every day?,NGSL
19,2,egg,noun,달걀,I eat an egg every morning.,How many eggs do we need?,NGSL
19,2,wine,noun,와인,Wine is made from fruit.,The wine bottles are on the top shelf.,NGSL
19,2,camera,noun,카메라,My new camera takes great pictures.,Where did you buy that camera?,NGSL
19,3,swim,verb,수영하다,I swim every morning before work.,Can your daughter swim yet?,NGSL
19,3,coffee,noun,커피,I drink coffee every morning.,Would you like some coffee?,NGSL
19,3,taste,noun,맛,I love the taste of fresh coffee.,Does this drink have a strange taste?,NGSL
19,3,tonight,adverb,오늘 밤,Are you free tonight?,We will eat out tonight.,NGSL
19,3,gift,noun,선물,This gift is for you.,Did you buy a gift for her?,NGSL
19,4,bedroom,noun,침실,The house has three bedrooms.,Where is your bedroom?,NGSL
19,4,climb,verb,오르다,We climbed the mountain last summer.,Can you climb that tree?,NGSL
19,4,mouth,noun,입,"Open your mouth, please.",The baby put it in her mouth.,NGSL
19,4,gun,noun,총,The old gun is in the museum.,Is the gun in the film real?,NGSL
19,4,gold,noun,금,She wore a ring made of gold.,Is this watch real gold?,NGSL
19,5,skin,noun,피부,Her skin looks healthy and fresh.,Does the sun hurt your skin?,NGSL
19,5,wood,noun,목재,This table is made of wood.,Do you need more wood for the fire?,NGSL
19,5,tear,noun,눈물,A tear ran down her face.,Why are there tears in your eyes?,NGSL
19,5,shake,verb,흔들다,Shake the box before you open it.,Did the ground shake last night?,NGSL
19,5,shoe,noun,신발,I need new shoes for school.,Where did you buy those shoes?,NGSL
19,6,cup,noun,컵,I drink a cup of coffee.,Can you wash the cups?,NGSL
19,6,finger,noun,손가락,She cut her finger in the kitchen.,Which finger is hurt?,NGSL
19,6,wake,verb,잠에서 깨다,I wake up at six every day.,Did the noise wake you?,NGSL
19,6,bright,adjective,밝은,The room is very bright.,What a bright morning!,NGSL
19,6,slowly,adverb,천천히,Please speak slowly.,The old man walked slowly home.,NGSL
19,7,hole,noun,구멍,There is a hole in my shoe.,Who made this hole?,NGSL
19,7,tie,verb,묶다,Tie your shoes before you run.,Can you tie the bag?,NGSL
19,7,forest,noun,숲,We walked through the forest all morning.,Many animals live in this forest.,NGSL
19,7,root,noun,뿌리,The tree has very deep roots.,Can you see the roots of the plant?,NGSL
19,7,bridge,noun,다리,We walked across the old bridge.,Is the bridge open to cars?,NGSL
20,1,ice,noun,얼음,Can I have some ice in my water?,The ice on the road was dangerous.,NGSL
20,1,farmer,noun,농부,The farmer feeds his animals every morning.,Do farmers work on weekends too?,NGSL
20,1,desk,noun,책상,Put the book on my desk.,Is there a desk in your room?,NGSL
20,1,empty,adjective,텅 빈,The box was empty this morning.,Why is the room so empty?,NGSL
20,1,tea,noun,차,Would you like some tea?,She drinks tea every morning.,NGSL
20,2,soft,adjective,부드러운,This bed is very soft.,Do you like soft music?,NGSL
20,2,lock,verb,잠그다,Did you lock the front door?,She always locks her car.,NGSL
20,2,shoulder,noun,어깨,My shoulder hurts after the game.,He carried the bag on his shoulder.,NGSL
20,2,bottle,noun,병,Please bring a bottle of water.,How many bottles did you buy?,NGSL
20,2,dad,noun,아빠,My dad cooks dinner every weekend.,Where is your dad now?,NGSL
20,3,fruit,noun,과일,I eat fresh fruit every morning.,Which fruit do you like best?,NGSL
20,3,mail,noun,우편물,Did you check the mail today?,The mail arrived late this morning.,NGSL
20,3,fat,adjective,뚱뚱한,The cat is getting fat.,Is this dog too fat?,NGSL
20,3,ear,noun,귀,He put the phone to his ear.,Can you hear with both ears?,NGSL
20,3,shout,verb,소리치다,Don't shout in the library.,Why did he shout at me?,NGSL
20,4,hill,noun,언덕,We walked up the hill together.,Is there a house on that hill?,NGSL
20,4,cat,noun,고양이,Our cat sleeps all afternoon.,Do you have a cat at home?,NGSL
20,4,kiss,verb,키스하다,The mother kissed her sleeping baby.,Do you kiss your kids every morning?,NGSL
20,4,thin,adjective,얇은,The ice is too thin to walk on.,She cut the paper into thin pieces.,NGSL
20,4,plate,noun,접시,Put the food on a clean plate.,Can you wash these plates for me?,NGSL
20,5,sad,adjective,슬픈,She felt sad after the movie ended.,Why do you look so sad today?,NGSL
20,5,circle,noun,동그라미,The children sat in a circle.,Draw a circle on the paper.,NGSL
20,5,sick,adjective,아픈,I stayed home because I was sick.,Is your brother still sick?,NGSL
20,5,sky,noun,하늘,The sky is clear and blue today.,Look at the stars in the sky!,NGSL
20,5,kick,verb,발로 차다,He kicked the ball into the garden.,"Don't kick the door, please!",NGSL
20,6,hat,noun,모자,He wore a red hat today.,Where did you buy that hat?,NGSL
20,6,medicine,noun,약,Take this medicine after dinner.,Is the medicine working yet?,NGSL
20,6,shut,verb,닫다,Please shut the door when you leave.,Did you shut the window last night?,NGSL
20,6,sweet,adjective,달콤한,This coffee is too sweet for me.,Do you like sweet drinks?,NGSL
20,6,tall,adjective,키가 큰,My brother is very tall.,How tall is that building?,NGSL
20,7,milk,noun,우유,I drink a glass of milk every morning.,Do you want milk in your coffee?,NGSL
20,7,smell,verb,냄새가 나다,The flowers smell so sweet.,Does this milk smell bad to you?,NGSL
20,7,pilot,noun,비행기 조종사,The pilot spoke to us before the flight.,Does she want to be a pilot?,NGSL
20,7,angry,adjective,화난,Why are you so angry today?,He got angry about the noise.,NGSL
20,7,seed,noun,씨앗,We planted seeds in the garden.,How long does a seed take to grow?,NGSL
21,1,breakfast,noun,아침 식사,What did you eat for breakfast?,We have breakfast at seven every day.,NGSL
21,1,lake,noun,호수,We swam in the lake last summer.,Is the lake deep in the middle?,NGSL
21,1,hi,interjection,안녕,"Hi, how are you today?",She said hi and smiled at me.,NGSL
21,1,yellow,adjective,노란,She wore a yellow dress to the party.,Are the flowers yellow or white?,NGSL
21,1,bone,noun,뼈,The dog is eating a big bone.,Did she break a bone in her arm?,NGSL
21,2,gray,adjective,회색의,The sky was gray all morning.,Do you like this gray coat?,NGSL
21,2,coat,noun,외투,"Put on your coat, it's cold outside.",Where did you buy that warm coat?,NGSL
21,2,pocket,noun,주머니,He put the key in his pocket.,What is in your coat pocket?,NGSL
21,2,meat,noun,고기,We don't eat much meat at home.,Do you prefer meat or fish?,NGSL
21,2,king,noun,왕,The king lived in a big castle.,Who was the king at that time?,NGSL
21,3,dish,noun,요리,This fish dish is very popular here.,What is your favorite dish?,NGSL
21,3,slide,verb,미끄러지다,The kids slide down the hill.,Did the car slide on the ice?,NGSL
21,3,shirt,noun,셔츠,He wore a white shirt to work.,Is this shirt too big for me?,NGSL
21,3,brown,adjective,갈색의,She has long brown hair.,Do you like this brown coat?,NGSL
21,3,tennis,noun,테니스,We play tennis every weekend.,Do you want to watch the tennis match?,NGSL
21,4,mouse,noun,쥐,A small mouse ran under the table.,Did you see a mouse in the kitchen?,NGSL
21,4,snow,noun,눈,The snow covered the whole garden.,Do you like playing in the snow?,NGSL
21,4,neck,noun,목,My neck hurts after a long drive.,She wore a chain around her neck.,NGSL
21,4,bike,noun,자전거,I ride my bike to school.,Is this new bike yours?,NGSL
21,4,wheel,noun,바퀴,The car has four wheels.,My bike wheel needs some air.,NGSL
21,5,toy,noun,장난감,The baby played with a new toy.,Which toy does your son like most?,NGSL
21,5,storm,noun,폭풍,A big storm hit the town last night.,Are you afraid of storms?,NGSL
21,5,thick,adjective,두꺼운,This book is very thick.,She wore a thick coat in winter.,NGSL
21,5,wing,noun,날개,The bird broke its wing.,How many wings does a plane have?,NGSL
21,5,roof,noun,지붕,Rain came through the old roof.,Is there a garden on the roof?,NGSL
21,6,smart,adjective,똑똑한,She is a very smart student.,Was that a smart decision?,NGSL
21,6,tooth,noun,치아,My tooth hurts when I eat ice.,The child lost her first tooth.,NGSL
21,6,silver,noun,은,The ring is made of silver.,Silver costs less than gold.,NGSL
21,6,gate,noun,대문,The garden gate was open all night.,Did you lock the front gate?,NGSL
21,6,beer,noun,맥주,Beer is made from grain and water.,This beer comes in a green bottle.,NGSL
21,7,wet,adjective,젖은,My hair is still wet from the rain.,Why are your shoes wet?,NGSL
21,7,cloud,noun,구름,There is not a cloud in the sky.,Look at that big dark cloud!,NGSL
21,7,truck,noun,트럭,A big truck blocked the road.,Who drives that red truck?,NGSL
21,7,nose,noun,코,My nose is cold in the winter.,Why is your nose red?,NGSL
21,7,mom,noun,엄마,My mom cooks dinner every evening.,Where is your mom right now?,NGSL
22,1,pour,verb,붓다,Please pour some water into the cup.,She poured coffee for everyone.,NGSL
22,1,apartment,noun,아파트,They live in a small apartment near school.,How many rooms does your apartment have?,NGSL
22,1,cake,noun,케이크,She made a big cake for the party.,Would you like another piece of cake?,NGSL
22,1,singer,noun,가수,She is a famous singer in my country.,Who is your favorite singer?,NGSL
22,1,grass,noun,풀,The kids sat on the grass.,The grass is wet after rain.,NGSL
22,2,mirror,noun,거울,She looked at herself in the mirror.,Is there a mirror in this room?,NGSL
22,2,vegetable,noun,채소,Eat more vegetables every day.,Which vegetable do you like best?,NGSL
22,2,knee,noun,무릎,He hurt his knee playing football.,Does your knee still hurt?,NGSL
22,2,sugar,noun,설탕,Do you take sugar in your coffee?,Too much sugar is bad for you.,NGSL
22,2,pink,adjective,분홍색의,She wore a pink dress to the party.,Are these flowers pink or red?,NGSL
22,3,loud,adjective,소리가 큰,The music was too loud last night.,Why is your voice so loud?,NGSL
22,3,jacket,noun,재킷,Bring a jacket because it is cold.,Whose blue jacket is this?,NGSL
22,3,dirty,adjective,더러운,My shoes got dirty in the rain.,Why are your hands so dirty?,NGSL
22,3,bread,noun,빵,She bakes fresh bread every morning.,Would you like some bread with your soup?,NGSL
22,3,boot,noun,부츠,I bought new boots for winter.,Are these boots warm enough for snow?,NGSL
22,4,button,noun,버튼,Press the red button to start.,Which button turns the light on?,NGSL
22,4,bowl,noun,그릇,She ate a bowl of hot soup.,Put the fruit in the big bowl.,NGSL
22,4,bath,noun,목욕,I take a bath every night.,Did the baby enjoy her bath?,NGSL
22,4,lip,noun,입술,Her lips were dry from the cold.,He bit his lip and said nothing.,NGSL
22,4,pen,noun,펜,Can I borrow your pen?,She wrote the note with a red pen.,NGSL
22,5,spin,verb,빙빙 돌다,The wheel spins very fast.,Can you spin the ball on your finger?,NGSL
22,5,dig,verb,땅을 파다,The dog digs holes in the garden.,Let's dig a hole for the tree.,NGSL
22,5,chicken,noun,닭고기,We had chicken for dinner last night.,Do you want chicken or fish?,NGSL
22,5,shower,noun,샤워,I take a shower every morning.,Did you have a shower yet?,NGSL
22,5,cigarette,noun,담배,Cigarette smoke is bad for your lungs.,The doctor told us to avoid cigarettes.,NGSL
22,6,cousin,noun,사촌,My cousin lives in a small town.,How many cousins do you have?,NGSL
22,6,sand,noun,모래,The children played in the sand.,Is the sand hot today?,NGSL
22,6,cap,noun,모자,He wore a red cap to the game.,Where did you buy that cap?,NGSL
22,6,cream,noun,크림,I like coffee with cream.,Do you want cream on your cake?,NGSL
22,6,skirt,noun,치마,She wore a long blue skirt.,Is this skirt too short for work?,NGSL
22,7,salt,noun,소금,Please pass the salt.,Does this soup need more salt?,NGSL
22,7,brush,verb,솔질하다,Brush your teeth before you go to bed.,She brushed the dust off her coat.,NGSL
22,7,golf,noun,골프,My father plays golf every weekend.,Do you want to learn golf?,NGSL
22,7,orange,noun,오렌지,I ate an orange for breakfast.,Would you like an orange after lunch?,NGSL
22,7,pig,noun,돼지,The pig is eating in the yard.,Do you have pigs on your farm?,NGSL
23,1,tail,noun,꼬리,The dog wagged its tail happily.,Does your cat have a long tail?,NGSL
23,1,wooden,adjective,나무로 만든,We sat at a big wooden table.,Is that old wooden door still safe?,NGSL
23,1,pot,noun,냄비,Put the water in a large pot.,Is there soup left in the pot?,NGSL
23,1,cow,noun,소,The farmer has ten cows on his farm.,A cow was eating grass by the road.,NGSL
23,1,fold,verb,접다,Please fold the clothes and put them away.,Can you fold this paper in half?,NGSL
23,2,cheese,noun,치즈,I love cheese on my bread.,Would you like some cheese?,NGSL
23,2,guitar,noun,기타,She plays the guitar every evening.,Can you teach me the guitar?,NGSL
23,2,flag,noun,깃발,The flag flew above the school.,What color is your country's flag?,NGSL
23,2,piano,noun,피아노,He practices the piano every day.,Do you have a piano at home?,NGSL
23,2,ski,verb,스키를 타다,We ski every winter in the mountains.,Can you ski?,NGSL
23,3,menu,noun,메뉴,"Can I see the menu, please?",The menu changes every season.,NGSL
23,3,moon,noun,달,The moon was bright last night.,Have people walked on the moon?,NGSL
23,3,grandmother,noun,할머니,My grandmother lives near the sea.,Do you visit your grandmother often?,NGSL
23,3,coin,noun,동전,I found a coin on the floor.,Do you have any coins for the bus?,NGSL
23,3,chocolate,noun,초콜릿,She loves dark chocolate.,Would you like some hot chocolate?,NGSL
23,4,belt,noun,벨트,He wore a brown belt today.,Is your seat belt on?,NGSL
23,4,potato,noun,감자,We grow potatoes in our garden.,Would you like some potatoes with dinner?,NGSL
23,4,tissue,noun,휴지,Can you pass me a tissue?,She wiped her nose with a tissue.,NGSL
23,4,stair,noun,계단,The stairs lead to the second floor.,She ran up the stairs quickly.,NGSL
23,4,shine,verb,빛나다,The sun is shining today.,Does the moon shine tonight?,NGSL
23,5,stomach,noun,배,My stomach hurts after lunch.,Does your stomach feel better now?,NGSL
23,5,golden,adjective,금빛의,She wore a golden ring.,The fields looked golden in the evening sun.,NGSL
23,5,knife,noun,칼,Be careful with that sharp knife.,Which knife should I use for bread?,NGSL
23,5,bite,verb,물다,The dog might bite you.,Did something bite your arm last night?,NGSL
23,5,printer,noun,프린터,The printer is out of paper again.,Can you fix the printer?,NGSL
23,6,ocean,noun,바다,We swam in the ocean all afternoon.,Have you ever seen the ocean?,NGSL
23,6,castle,noun,성,The old castle stands on a hill.,Have you visited the castle yet?,NGSL
23,6,carpet,noun,카펫,The cat sleeps on the carpet.,Did you clean the carpet today?,NGSL
23,6,bell,noun,종,The school bell rang at nine.,Did you hear the bell ring?,NGSL
23,6,uncle,noun,삼촌,My uncle lives near the sea.,Is your uncle coming to dinner?,NGSL
23,7,rice,noun,쌀,We eat rice with every meal.,How much rice should I cook?,NGSL
23,7,sheep,noun,양,The farmer has two hundred sheep.,Do sheep sleep at night?,NGSL
23,7,rat,noun,쥐,A rat ran across the kitchen floor.,Did you see a rat in the garden?,NGSL
23,7,tent,noun,텐트,We put up a tent near the lake.,Did you sleep in a tent last night?,NGSL
23,7,slice,noun,얇은 조각,Would you like a slice of cake?,He ate two slices of bread.,NGSL
24,1,tongue,noun,혀,I burned my tongue on hot coffee.,The dog's tongue was hanging out.,NGSL
24,1,wipe,verb,닦다,Please wipe the table after dinner.,He wiped his hands on his shirt.,NGSL
24,1,cough,verb,기침하다,He coughed all night long.,Cover your mouth when you cough.,NGSL
24,1,curtain,noun,커튼,Please close the curtains at night.,The curtains in my room are blue.,NGSL
24,1,aunt,noun,이모,My aunt lives near the sea.,Did your aunt come to the party?,NGSL
24,2,ugly,adjective,못생긴,That old building is really ugly.,Why is this jacket so ugly?,NGSL
24,2,autumn,noun,가을,The leaves turn red in autumn.,Do you like autumn or spring more?,NGSL
24,2,rose,noun,장미,He gave her a red rose.,Roses grow well in this garden.,NGSL
24,2,hello,interjection,안녕하세요,"Hello, how are you today?",She said hello to everyone at the party.,NGSL
24,2,robot,noun,로봇,The robot cleans the floor every day.,Can a robot cook dinner for us?,NAWL
24,3,leaf,noun,나뭇잎,A leaf fell from the tree.,Why do leaves turn red in autumn?,NAWL
24,3,classroom,noun,교실,The classroom was full of students.,Is the classroom on the second floor?,NAWL
24,3,insect,noun,곤충,Most insects have six legs.,What kind of insect is that?,NAWL
24,3,arrow,noun,화살표,Follow the arrow on the sign.,The arrow in the diagram points left.,NAWL
24,3,monkey,noun,원숭이,The monkey climbed the tall tree.,Have you ever seen a monkey?,NAWL
24,4,dictionary,noun,사전,I looked up the word in a dictionary.,Do you have a good dictionary?,NAWL
24,4,nest,noun,둥지,The bird built a nest in the tree.,Are there eggs in the nest?,NAWL
24,4,triangle,noun,삼각형,Draw a triangle on the paper.,A triangle has three sides.,NAWL
24,4,textbook,noun,교과서,Open your textbook to page ten.,Which textbook do you use for math?,NAWL
24,4,puzzle,noun,퍼즐,She finished the puzzle in one hour.,Do you like doing puzzles?,NAWL
24,5,exit,noun,출구,The exit is at the back.,Where is the nearest exit?,NAWL
24,5,diary,noun,일기,She writes in her diary every night.,Do you keep a diary?,NAWL
24,5,bat,noun,박쥐,A bat flew across the night sky.,Do bats sleep during the day?,NAWL
24,5,bubble,noun,거품,The child blew a big bubble.,Bubbles rose in the hot water.,NAWL
24,5,goat,noun,염소,The goat ate all the flowers.,Do goats give milk like cows?,NAWL
24,6,apple,noun,사과,She eats an apple every morning.,These apples taste very sweet.,NAWL
24,6,claim,verb,주장하다,He claims he knows the answer.,Why do they claim it was easy?,NGSL
24,6,relationship,noun,관계,They have a good relationship.,How is your relationship with your parents?,NGSL
24,6,travel,verb,여행하다,I want to travel around the world.,Do you often travel for work?,NGSL
24,6,enjoy,verb,즐기다,We enjoyed the music last night.,Did you enjoy the film?,NGSL
24,7,death,noun,죽음,Nothing is more certain than death.,The book is about life and death.,NGSL
24,7,amount,noun,양,A small amount of water is enough.,He paid a large amount of money.,NGSL
24,7,improve,verb,나아지다,My work is improving every day.,Did his health improve this year?,NGSL
24,7,regard,verb,~로 여기다,I regard him as a good friend.,Do you regard this as a problem?,NGSL
24,7,organization,noun,단체,She works for a large organization.,Which organization helps old people here?,NGSL
25,1,couple,noun,두어 개,I need a couple of days to think.,Can you wait a couple of minutes?,NGSL
25,1,act,verb,행동하다,We must act before it is too late.,Why did he act like that?,NGSL
25,1,range,noun,범위,They sell a wide range of foods.,What is the price range for this?,NGSL
25,1,quality,noun,품질,The quality of this water is good.,Is the quality of the food good?,NGSL
25,1,project,noun,프로젝트,Our team started a new project today.,How long will the project take?,NGSL
25,2,opportunity,noun,좋은 기회,This job is a great opportunity.,Did you get an opportunity to speak?,NGSL
25,2,accord,preposition,~에 따르면,"According to the report, prices will rise.","Is that true, according to the teacher?",NGSL
25,2,list,noun,목록,Please write a list of the food.,Is my name on the list?,NGSL
25,2,wish,verb,바라다,I wish I could see her today.,Do you wish you had more money?,NGSL
25,2,therefore,adverb,그러므로,"It was late; therefore, we went home.",She was ill and therefore stayed home.,NGSL
25,3,fund,noun,기금,The school has a fund for books.,Who will pay money into the fund?,NGSL
25,3,rest,noun,나머지,You can eat the rest of the food.,Where did the rest of them go?,NGSL
25,3,industry,noun,산업,The car industry is very large here.,Which industry do you work in?,NGSL
25,3,education,noun,교육,Education is important for every child.,Do you think education should be free?,NGSL
25,3,measure,verb,재다,Please measure the table before you buy it.,Did you measure the room?,NGSL
25,4,kill,verb,죽이다,The cold killed all the young plants.,Did the hot sun kill the flowers?,NGSL
25,4,serve,verb,대접하다,They serve good food at this shop.,Can you serve the food now?,NGSL
25,4,likely,adjective,가능성이 높은,It is likely to be cold today.,Is she likely to call back?,NGSL
25,4,certainly,adverb,확실히,She will certainly help you today.,"Certainly, you can use my car.",NGSL
25,4,national,adjective,국가의,It is a national problem now.,Do you watch the national news?,NGSL
25,5,security,noun,보안,The school has good security at night.,Who is in charge of security here?,NGSL
25,5,benefit,noun,혜택,Walking has many benefits for your health.,What is the benefit of this plan?,NGSL
25,5,trade,noun,무역,Trade between the two countries is growing.,Is your company involved in trade?,NGSL
25,5,risk,noun,위험,There is a risk of losing money.,Do you want to take the risk?,NGSL
25,5,news,noun,소식,I have some good news for you.,Did you watch the news last night?,NGSL
25,6,standard,noun,기준,The school has very high standards.,What is the standard for this test?,NGSL
25,6,vote,verb,투표하다,Let's vote on where to eat.,Did everyone vote for the new plan?,NGSL
25,6,percent,noun,퍼센트,Ten percent of the students were late.,What percent of people own a car?,NGSL
25,6,focus,verb,집중하다,Please focus on your work now.,Can you focus with the music on?,NGSL
25,6,stage,noun,단계,We are at the first stage now.,What stage is the project at?,NGSL
25,7,space,noun,공간,There is no space for another table.,Do you have space in your car?,NGSL
25,7,instead,adverb,대신에,I stayed home instead.,Can we walk there instead?,NGSL
25,7,realize,verb,깨닫다,I realized I left my phone at home.,Did you realize how late it was?,NGSL
25,7,usually,adverb,보통,I usually walk to work.,What time do you usually get up?,NGSL
25,7,data,noun,자료,The data shows that sales are growing.,Where did you get this data?,NGSL
26,1,single,adjective,단 하나의,There was a single light in the room.,Not a single person came late.,NGSL
26,1,address,noun,주소,What is your home address?,Please write your address on the paper.,NGSL
26,1,performance,noun,성과,The team's performance was great this year.,How was your performance at work today?,NGSL
26,1,chance,noun,기회,This is your chance to learn.,"Give me one more chance, please.",NGSL
26,1,accept,verb,받아들이다,She accepted the job offer today.,Will you accept my help?,NGSL
26,2,society,noun,사회,Every person is part of society.,How does technology change our society?,NGSL
26,2,technology,noun,과학 기술,New technology changes the way we work.,Does technology make life easier?,NGSL
26,2,mention,verb,언급하다,She mentioned your name at the meeting.,Did he mention the price?,NGSL
26,2,choice,noun,선택,It was a hard choice for me.,Which choice is better for you?,NGSL
26,2,save,verb,저축하다,I save money every month.,How much did you save last year?,NGSL
26,3,common,adjective,흔한,This is a common name for boys.,Is it common to eat late here?,NGSL
26,3,culture,noun,문화,Every country has its own culture.,Do you like the culture of this city?,NGSL
26,3,total,adjective,총,The total cost was very high.,What is the total number of students?,NGSL
26,3,demand,noun,수요,There is a high demand for water.,Is the demand for cars still growing?,NGSL
26,3,material,noun,재료,This material is very strong.,What material did you use for the table?,NGSL
26,4,limit,noun,한계,Everyone has a limit.,Is there a time limit for the test?,NGSL
26,4,due,adjective,예정된,The report is due next week.,When is the paper due?,NGSL
26,4,wrong,adjective,틀린,Your answer is wrong.,Did I take the wrong road?,NGSL
26,4,effort,noun,노력,She made a great effort to win.,Did you put much effort into this?,NGSL
26,4,attention,noun,주의,Please pay attention to the teacher.,Did the news get your attention?,NGSL
26,5,check,verb,확인하다,Please check your answer again.,Did you check the time?,NGSL
26,5,complete,adjective,완전한,This is a complete list of names.,Is your report complete now?,NGSL
26,5,lie,verb,눕다,I like to lie on the ground.,Do you lie down after work?,NGSL
26,5,pick,verb,고르다,Pick a color you like.,Which book did you pick?,NGSL
26,5,reduce,verb,줄이다,We need to reduce the cost.,How can I reduce my work hours?,NGSL
26,6,personal,adjective,개인적인,This is a personal question.,Do you have a personal computer?,NGSL
26,6,arrive,verb,도착하다,The train will arrive soon.,When did you arrive here?,NGSL
26,6,patient,noun,환자,The patient needs more water.,How many patients did you see today?,NGSL
26,6,current,adjective,현재의,What is your current address?,The current price is too high.,NGSL
26,6,century,noun,세기,This house is a century old.,Which century did they live in?,NGSL
26,7,evidence,noun,증거,Is there any evidence for this?,The evidence shows he was right.,NGSL
26,7,exist,verb,존재하다,Do animals like this still exist?,This problem did not exist before.,NGSL
26,7,similar,adjective,비슷한,Our cars are very similar.,Is this job similar to your last one?,NGSL
26,7,leader,noun,지도자,She is the leader of our team.,Who is the leader of this group?,NGSL
26,7,fine,adjective,괜찮은,Everything is fine at home.,Are you fine with this plan?,NGSL
27,1,former,adjective,예전의,I met my former teacher today.,Is he a former member of the team?,NGSL
27,1,contact,noun,연락,Are you still in contact with him?,Please keep in contact with old friends.,NGSL
27,1,particularly,adverb,특히,I particularly like this kind of music.,Was the test particularly hard for you?,NGSL
27,1,prepare,verb,준비하다,We prepare food for the party.,Did you prepare for the test?,NGSL
27,1,discuss,verb,의논하다,Let's discuss the plan today.,They discussed the problem for an hour.,NGSL
27,2,response,noun,응답,I got no response to my letter.,Her response was short and kind.,NGSL
27,2,voice,noun,목소리,She has a very nice voice.,Can you hear my voice now?,NGSL
27,2,piece,noun,조각,Give me a piece of paper.,She cut the paper into pieces.,NGSL
27,2,finish,verb,끝내다,I will finish my work today.,When does the game finish?,NGSL
27,2,suppose,verb,추측하다,I suppose he is right.,Do you suppose they will come?,NGSL
27,3,apply,verb,지원하다,I want to apply for that job.,Did she apply to the school?,NGSL
27,3,president,noun,대통령,Who is the president of that country?,The president visited our school today.,NGSL
27,3,compare,verb,비교하다,Let's compare the two prices.,Don't compare yourself with others.,NGSL
27,3,court,noun,법원,The case will go to court soon.,The court made its decision today.,NGSL
27,3,poor,adjective,가난한,They were poor but very happy.,Many poor people need our help.,NGSL
27,4,knowledge,noun,지식,She has great knowledge of music.,Knowledge comes from reading many books.,NGSL
27,4,source,noun,출처,What is the source of this news?,The book is a good source of information.,NGSL
27,4,employee,noun,직원,The company has many employees.,Every employee gets a day off.,NGSL
27,4,manage,verb,관리하다,She manages a small store in town.,Who manages the money here?,NGSL
27,4,simply,adverb,단순히,I simply want to go home.,The answer is simply no.,NGSL
27,5,firm,noun,기업,He works for a law firm.,The firm has offices in many cities.,NGSL
27,5,cell,noun,세포,The body is made of many cells.,Every cell needs water to live.,NGSL
27,5,article,noun,기사,I read an article about health.,Did you write this article?,NGSL
27,5,attack,noun,공격,Our team has a fast attack.,The players began an attack near the goal.,NGSL
27,5,foreign,adjective,외국의,She speaks two foreign languages.,Do you like foreign films?,NGSL
27,6,surprise,noun,뜻밖의 일,What a nice surprise to see you!,The party was a big surprise.,NGSL
27,6,feature,noun,특징,This phone has a new feature.,What is its main feature?,NGSL
27,6,factor,noun,요인,Price is an important factor for me.,What factors led to this result?,NGSL
27,6,pretty,adverb,꽤,The test was pretty easy.,I feel pretty good today.,NGSL
27,6,recently,adverb,최근에,I recently moved to a new city.,Have you seen her recently?,NGSL
27,7,affect,verb,영향을 주다,Bad news can affect how we feel.,Does the price affect your choice?,NGSL
27,7,recent,adjective,최근의,Did you read the recent news?,His recent work is very good.,NGSL
